,xA,yA,zA,xC,yC,zC,A1,A2,A3,B,C1,C2,C3,rA1,rA2,rA3,rB,rC1,rC2,rC3,rA,rC,TF,OF
82,0.0,0.0,1.0,0.2,0.4,0.4,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0260000000000002,1.0017346066809423,0.5873642645607107
83,0.0,0.0,1.0,0.2,0.45,0.35,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0140000000000002,1.002838081682794,0.5908639523336643
84,0.0,0.0,1.0,0.2,0.5,0.3,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0020000000000002,1.0039498534891707,0.5944055944055943
85,0.0,0.0,1.0,0.2,0.55,0.25,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.9900000000000002,1.0050700160261616,0.5979899497487436
86,0.0,0.0,1.0,0.2,0.6,0.2,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.9780000000000002,1.0061986646429784,0.6016177957532861
87,0.0,0.0,1.0,0.2,0.65,0.15,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.9660000000000002,1.0073358961390106,0.60528992878942
88,0.0,0.0,1.0,0.2,0.7,0.1,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.954,1.0084818087915008,0.609007164790174
89,0.0,0.0,1.0,0.2,0.75,0.05,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.9420000000000002,1.009636502383857,0.6127703398558186
90,0.0,0.0,1.0,0.25,0.0,0.75,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.1025,0.9948890398926898,0.5659928656361474
91,0.0,0.0,1.0,0.25,0.05,0.7,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0905,0.9959417413420035,0.5692418081798613
