,rownum,A1,A2,A3,B,C1,C2,C3,xA,yA,zA,xC,yC,zC,Eg,Eg-type,rA1,rA2,rA3,rA,rB,rC1,rC2,rC3,rC,TF,OF,duplicated
76,77.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.0,1.0,0.0,1.0,0.0,2.19,,1.67,2.16,2.53,2.53,1.19,1.81,1.96,2.2,1.96,1.0079077611198726,0.6071428571428571,0
77,78.0,Cs,MA,FA,Pb,Cl,Br,I,0.7,0.3,0.0,0.0,0.3,0.7,1.74,,1.67,2.16,2.53,1.8169999999999997,1.19,1.81,1.96,2.2,2.128,0.8407282253709855,0.5592105263157894,0
78,79.0,Cs,MA,FA,Pb,Cl,Br,I,0.6,0.4,0.0,0.0,0.4,0.6,1.75,,1.67,2.16,2.53,1.866,1.19,1.81,1.96,2.2,2.104,0.8522203768398887,0.5655893536121672,0
79,80.0,Cs,MA,FA,Pb,Cl,Br,I,0.5,0.5,0.0,0.0,0.5,0.5,1.76,,1.67,2.16,2.53,1.915,1.19,1.81,1.96,2.2,2.08,0.8638812204404456,0.5721153846153846,0
80,81.0,Cs,MA,FA,Pb,Cl,Br,I,0.4,0.6,0.0,0.0,0.6,0.4,1.82,,1.67,2.16,2.53,1.964,1.19,1.81,1.96,2.2,2.056,0.8757144979574616,0.5787937743190661,0
81,82.0,Cs,MA,FA,Pb,Cl,Br,I,0.3,0.7,0.0,0.0,0.7,0.3,1.87,,1.67,2.16,2.53,2.013,1.19,1.81,1.96,2.2,2.032,0.8877240626628133,0.5856299212598425,0
82,83.0,Cs,MA,FA,Pb,Cl,Br,I,0.2,0.8,0.0,0.0,0.8,0.2,1.95,,1.67,2.16,2.53,2.0620000000000003,1.19,1.81,1.96,2.2,2.008,0.899913883498827,0.5926294820717131,0
83,84.0,Cs,MA,FA,Pb,Cl,Br,I,0.1,0.9,0.0,0.0,0.9,0.1,2.06,,1.67,2.16,2.53,2.111,1.19,1.81,1.96,2.2,1.984,0.9122880494514531,0.5997983870967741,0
84,85.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,1.0,0.0,0.0,1.0,0.0,2.17,,1.67,2.16,2.53,2.16,1.19,1.81,1.96,2.2,1.96,0.9248507741233574,0.6071428571428571,0
85,86.0,Cs,MA,FA,Pb,Cl,Br,I,0.7,0.0,0.3,0.0,0.3,0.7,1.72,,1.67,2.16,2.53,1.9279999999999997,1.19,1.81,1.96,2.2,2.128,0.8643836963510055,0.5592105263157894,0
86,87.0,Cs,MA,FA,Pb,Cl,Br,I,0.6,0.0,0.4,0.0,0.4,0.6,1.76,,1.67,2.16,2.53,2.0140000000000002,1.19,1.81,1.96,2.2,2.104,0.8839908090243481,0.5655893536121672,0
87,88.0,Cs,MA,FA,Pb,Cl,Br,I,0.5,0.0,0.5,0.0,0.5,0.5,1.81,,1.67,2.16,2.53,2.0999999999999996,1.19,1.81,1.96,2.2,2.08,0.903885732525923,0.5721153846153846,0
88,89.0,Cs,MA,FA,Pb,Cl,Br,I,0.4,0.0,0.6,0.0,0.6,0.4,1.85,,1.67,2.16,2.53,2.186,1.19,1.81,1.96,2.2,2.056,0.9240748508297394,0.5787937743190661,0
89,90.0,Cs,MA,FA,Pb,Cl,Br,I,0.3,0.0,0.7,0.0,0.7,0.3,1.92,,1.67,2.16,2.53,2.272,1.19,1.81,1.96,2.2,2.032,0.9445647381213222,0.5856299212598425,0
90,91.0,Cs,MA,FA,Pb,Cl,Br,I,0.2,0.0,0.8,0.0,0.8,0.2,1.97,,1.67,2.16,2.53,2.358,1.19,1.81,1.96,2.2,2.008,0.9653621659351052,0.5926294820717131,0
91,92.0,Cs,MA,FA,Pb,Cl,Br,I,0.1,0.0,0.9,0.0,0.9,0.1,2.08,,1.67,2.16,2.53,2.4439999999999995,1.19,1.81,1.96,2.2,1.984,0.986474110615637,0.5997983870967741,0
92,93.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.0,1.0,0.0,1.0,0.0,2.16,,1.67,2.16,2.53,2.53,1.19,1.81,1.96,2.2,1.96,1.0079077611198726,0.6071428571428571,0
93,94.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.9,0.1,0.0,0.1,0.9,1.51,,1.67,2.16,2.53,2.197,1.19,1.81,1.96,2.2,2.176,0.9186506102581022,0.5468749999999999,0
94,95.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.8,0.2,0.0,0.2,0.8,1.58,,1.67,2.16,2.53,2.234,1.19,1.81,1.96,2.2,2.152,0.9279983070868334,0.5529739776951672,0
95,96.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.7,0.3,0.0,0.3,0.7,1.68,,1.67,2.16,2.53,2.271,1.19,1.81,1.96,2.2,2.128,0.9374812328027795,0.5592105263157894,0
96,97.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.6,0.4,0.0,0.4,0.6,1.76,,1.67,2.16,2.53,2.308,1.19,1.81,1.96,2.2,2.104,0.9471023432286119,0.5655893536121672,0
97,98.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.5,0.5,0.0,0.5,0.5,1.77,,1.67,2.16,2.53,2.3449999999999998,1.19,1.81,1.96,2.2,2.08,0.9568646809634472,0.5721153846153846,0
98,99.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.5,0.5,0.0,0.5,0.5,1.8,,1.67,2.16,2.53,2.3449999999999998,1.19,1.81,1.96,2.2,2.08,0.9568646809634472,0.5721153846153846,0
99,100.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.4,0.6,0.0,0.6,0.4,1.91,,1.67,2.16,2.53,2.3819999999999997,1.19,1.81,1.96,2.2,2.056,0.9667713785908495,0.5787937743190661,0
