,xA,yA,zA,xC,yC,zC,rA,rB,rC,TF,pred_Linear_Regression,pred_Random_Forest_Regression,pred_Random_Forest_Regression1,pred_Gradient_Boosting_Regression,pred_Kernel_Ridge_Regression
1967,0.1,0.6,0.3,0.0,0.3,0.7,2.222,1.19,2.128,0.9270387275953832,,1.6649008667919842,1.6608437155705769,1.6693636916352284,
2043,0.1,0.7,0.2,0.0,0.3,0.7,2.185,1.19,2.128,0.9191535706020432,,1.6659785334586508,1.6608437155705769,1.669711854087233,
2119,0.1,0.8,0.1,0.0,0.3,0.7,2.148,1.19,2.128,0.911268413608703,,1.6742629289155664,1.6724998149901966,1.6813149416123454,
2822,0.2,0.0,0.8,0.0,0.3,0.7,2.358,1.19,2.128,0.9560220073546872,1.6695556640625,1.6649008667919842,1.6608437155705769,1.655717681353744,1.6825592995790748
2900,0.2,0.1,0.7,0.0,0.3,0.7,2.321,1.19,2.128,0.9481368503613472,1.68017578125,1.6649008667919842,1.6608437155705769,1.6596879849099708,1.6928900018506745
2977,0.2,0.2,0.6,0.0,0.3,0.7,2.284,1.19,2.128,0.9402516933680072,1.69091796875,1.6649008667919842,1.6608437155705769,1.6680538332431771,
3053,0.2,0.3,0.5,0.0,0.3,0.7,2.247,1.19,2.128,0.9323665363746668,,1.6649008667919842,1.6608437155705769,1.6659676870355071,
3129,0.2,0.4,0.4,0.0,0.3,0.7,2.21,1.19,2.128,0.924481379381327,,1.6649008667919842,1.6608437155705769,1.67564049969852,
3205,0.2,0.5,0.3,0.0,0.3,0.7,2.173,1.19,2.128,0.916596222387987,,1.6713965251722511,1.6633501852675467,1.670191895946815,
3281,0.2,0.6,0.2,0.0,0.3,0.7,2.136,1.19,2.128,0.9087110653946469,,1.6733479289155664,1.6724998149901966,1.6803086292564202,
3348,0.2,0.7,0.1,0.0,0.3,0.7,2.099,1.19,2.128,0.9008259084013068,,1.6788316511538477,1.67581098820887,1.6898614837065054,
3834,0.3,0.0,0.7,0.0,0.3,0.7,2.272,1.19,2.128,0.9376943451539508,1.679443359375,1.6649008667919842,1.6608437155705769,1.6644905927418372,1.6835089048686591
3910,0.3,0.1,0.6,0.0,0.3,0.7,2.235,1.19,2.128,0.9298091881606106,1.6903076171875,1.6649008667919842,1.6608437155705769,1.6680109376858965,1.6938396071402595
3986,0.3,0.2,0.5,0.0,0.3,0.7,2.198,1.19,2.128,0.9219240311672708,,1.6649008667919842,1.6608437155705769,1.6774129684042078,
4062,0.3,0.3,0.4,0.0,0.3,0.7,2.161,1.19,2.128,0.9140388741739308,,1.6733479289155664,1.6724998149901966,1.6811682571877082,
4135,0.3,0.4,0.3,0.0,0.3,0.7,2.124,1.19,2.128,0.9061537171805908,,1.6742106561882937,1.6724998149901966,1.686440849206713,
4489,0.4,0.0,0.6,0.0,0.3,0.7,2.186,1.19,2.128,0.9193666829532144,1.689453125,1.6677143667919845,1.6608437155705769,1.6683591001379012,1.684458510158247
4566,0.4,0.1,0.5,0.0,0.3,0.7,2.149,1.19,2.128,0.9114815259598744,,1.6750837622489,1.6724998149901966,1.681997226855762,1.6947892124298465
4636,0.4,0.2,0.4,0.0,0.3,0.7,2.112,1.19,2.128,0.9035963689665344,,1.6773622327648705,1.67391555823344,,
4782,0.5,0.0,0.5,0.0,0.3,0.7,2.1,1.19,2.128,0.9010390207524782,1.6993408203125,1.6811938733760698,1.67581098820887,1.6933875232875315,1.6854081154478324
14,0.0,0.0,1.0,0.1,0.0,0.9,2.53,1.19,2.161,0.9898650881963874,1.60009765625,1.5373846879744104,1.5383224788151486,1.50736874074632,1.6069549928187596
98,0.0,0.1,0.9,0.1,0.0,0.9,2.493,1.19,2.161,0.9820575827043246,1.6129150390625,1.5373846879744104,1.5383224788151486,1.5138832722719249,1.6173032292607363
178,0.0,0.2,0.8,0.1,0.0,0.9,2.456,1.19,2.161,0.974250077212262,1.6258544921875,1.5373846879744104,1.5383224788151486,1.5090751037447292,1.6276514657027117
255,0.0,0.3,0.7,0.1,0.0,0.9,2.419,1.19,2.161,0.9664425717201992,1.638916015625,1.5373846879744104,1.5383224788151486,1.5050401022846962,1.6379997021446884
333,0.0,0.4,0.6,0.1,0.0,0.9,2.382,1.19,2.161,0.9586350662281364,1.6517333984375,1.5373846879744104,1.5383224788151486,1.5248104409799992,1.6483479385866668
409,0.0,0.5,0.5,0.1,0.0,0.9,2.345,1.19,2.161,0.9508275607360738,1.66455078125,1.5373846879744104,1.5383224788151486,1.5061479834017857,1.658696175028643
486,0.0,0.6,0.4,0.1,0.0,0.9,2.308,1.19,2.161,0.9430200552440108,1.6776123046875,1.5373846879744104,1.5383224788151486,1.5178958641618072,1.6690444114706209
563,0.0,0.7,0.3,0.1,0.0,0.9,2.271,1.19,2.161,0.9352125497519482,1.6905517578125,1.5382268618874542,1.539164652728192,1.5175372060806158,1.679392647912597
641,0.0,0.8,0.2,0.1,0.0,0.9,2.234,1.19,2.161,0.9274050442598852,,1.5382268618874542,1.539164652728192,1.527311054044158,1.689740884354575
