Feature,A1,A2,A3,B,C1,C2,C3,xA,yA,zA,xC,yC,zC,bandgap eV,checking,bandgap (Sona),measured/calculated,crystal or device (multilayer film structure),AB-,Link
71,Cs,MA,FA,Pb,Cl,Br,I,,0.6000,0.4000,,1.00,,2.2000,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
72,Cs,MA,FA,Pb,Cl,Br,I,,0.5000,0.5000,,1.00,,2.2000,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
73,Cs,MA,FA,Pb,Cl,Br,I,,0.4000,0.6000,,1.00,,2.2000,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
74,Cs,MA,FA,Pb,Cl,Br,I,,0.3000,0.7000,,1.00,,2.2000,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
75,Cs,MA,FA,Pb,Cl,Br,I,,0.2000,0.8000,,1.00,,2.1800,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
76,Cs,MA,FA,Pb,Cl,Br,I,,0.1000,0.9000,,1.00,,2.1900,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
77,Cs,MA,FA,Pb,Cl,Br,I,,0.0000,1.0000,,1.00,,2.1900,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
78,Cs,MA,FA,Pb,Cl,Br,I,0.7000,0.3000,,,0.30,0.70,1.7400,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
79,Cs,MA,FA,Pb,Cl,Br,I,0.6000,0.4000,,,0.40,0.60,1.7500,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
80,Cs,MA,FA,Pb,Cl,Br,I,0.5000,0.5000,,,0.50,0.50,1.7600,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
